               table               |                     index                      | index_size | is_unique | is_primary |                                                                    def                                                                    
-----------------------------------+------------------------------------------------+------------+-----------+------------+-------------------------------------------------------------------------------------------------------------------------------------------
 admin_audit_logs                  | admin_audit_logs_pkey                          | 16 kB      | t         | t          | CREATE UNIQUE INDEX admin_audit_logs_pkey ON public.admin_audit_logs USING btree (id)
 auth_rate_limits                  | auth_rate_limits_key_action_idx                | 16 kB      | f         | f          | CREATE INDEX auth_rate_limits_key_action_idx ON public.auth_rate_limits USING btree (key, action, created_at DESC)
 auth_rate_limits                  | auth_rate_limits_pkey                          | 16 kB      | t         | t          | CREATE UNIQUE INDEX auth_rate_limits_pkey ON public.auth_rate_limits USING btree (id)
 batches                           | batches_pkey                                   | 8192 bytes | t         | t          | CREATE UNIQUE INDEX batches_pkey ON public.batches USING btree (id)
 batches                           | batches_variant_id_lot_code_key                | 8192 bytes | t         | f          | CREATE UNIQUE INDEX batches_variant_id_lot_code_key ON public.batches USING btree (variant_id, lot_code)
 carts                             | carts_pkey                                     | 8192 bytes | t         | t          | CREATE UNIQUE INDEX carts_pkey ON public.carts USING btree (cart_id)
 categories                        | categories_pkey                                | 16 kB      | t         | t          | CREATE UNIQUE INDEX categories_pkey ON public.categories USING btree (key)
 categories                        | idx_categories_active                          | 16 kB      | f         | f          | CREATE INDEX idx_categories_active ON public.categories USING btree (is_active)
 categories                        | idx_categories_key_unique                      | 16 kB      | t         | f          | CREATE UNIQUE INDEX idx_categories_key_unique ON public.categories USING btree (key)
 categories                        | idx_categories_sort                            | 16 kB      | f         | f          | CREATE INDEX idx_categories_sort ON public.categories USING btree (sort_order)
 contact_submissions               | contact_submissions_pkey                       | 16 kB      | t         | t          | CREATE UNIQUE INDEX contact_submissions_pkey ON public.contact_submissions USING btree (id)
 contact_submissions               | idx_contact_created_at                         | 16 kB      | f         | f          | CREATE INDEX idx_contact_created_at ON public.contact_submissions USING btree (created_at DESC)
 contact_submissions               | idx_contact_email                              | 16 kB      | f         | f          | CREATE INDEX idx_contact_email ON public.contact_submissions USING btree (email)
 contact_submissions               | idx_contact_topic                              | 16 kB      | f         | f          | CREATE INDEX idx_contact_topic ON public.contact_submissions USING btree (topic)
 coupons                           | coupons_code_key                               | 8192 bytes | t         | f          | CREATE UNIQUE INDEX coupons_code_key ON public.coupons USING btree (code)
 coupons                           | coupons_pkey                                   | 8192 bytes | t         | t          | CREATE UNIQUE INDEX coupons_pkey ON public.coupons USING btree (id)
 customer_cart_items               | customer_cart_items_customer_id_idx            | 16 kB      | f         | f          | CREATE INDEX customer_cart_items_customer_id_idx ON public.customer_cart_items USING btree (customer_id)
 customer_cart_items               | customer_cart_items_pkey                       | 16 kB      | t         | t          | CREATE UNIQUE INDEX customer_cart_items_pkey ON public.customer_cart_items USING btree (customer_id, slug)
 customer_carts                    | customer_carts_pkey                            | 16 kB      | t         | t          | CREATE UNIQUE INDEX customer_carts_pkey ON public.customer_carts USING btree (customer_id)
 customer_email_verification_codes | customer_email_verification_codes_code_idx     | 16 kB      | f         | f          | CREATE INDEX customer_email_verification_codes_code_idx ON public.customer_email_verification_codes USING btree (code)
 customer_email_verification_codes | customer_email_verification_codes_customer_idx | 16 kB      | f         | f          | CREATE INDEX customer_email_verification_codes_customer_idx ON public.customer_email_verification_codes USING btree (customer_id)
 customer_email_verification_codes | customer_email_verification_codes_expires_idx  | 16 kB      | f         | f          | CREATE INDEX customer_email_verification_codes_expires_idx ON public.customer_email_verification_codes USING btree (expires_at)
 customer_email_verification_codes | customer_email_verification_codes_pkey         | 16 kB      | t         | t          | CREATE UNIQUE INDEX customer_email_verification_codes_pkey ON public.customer_email_verification_codes USING btree (id)
 customer_password_reset_tokens    | customer_password_reset_tokens_customer_id_idx | 16 kB      | f         | f          | CREATE INDEX customer_password_reset_tokens_customer_id_idx ON public.customer_password_reset_tokens USING btree (customer_id)
 customer_password_reset_tokens    | customer_password_reset_tokens_customer_idx    | 16 kB      | f         | f          | CREATE INDEX customer_password_reset_tokens_customer_idx ON public.customer_password_reset_tokens USING btree (customer_id)
 customer_password_reset_tokens    | customer_password_reset_tokens_expires_idx     | 16 kB      | f         | f          | CREATE INDEX customer_password_reset_tokens_expires_idx ON public.customer_password_reset_tokens USING btree (expires_at)
 customer_password_reset_tokens    | customer_password_reset_tokens_pkey            | 16 kB      | t         | t          | CREATE UNIQUE INDEX customer_password_reset_tokens_pkey ON public.customer_password_reset_tokens USING btree (id)
 customer_password_reset_tokens    | customer_password_reset_tokens_token_hash_idx  | 16 kB      | f         | f          | CREATE INDEX customer_password_reset_tokens_token_hash_idx ON public.customer_password_reset_tokens USING btree (token_hash)
 customer_password_reset_tokens    | customer_password_reset_tokens_token_idx       | 16 kB      | f         | f          | CREATE INDEX customer_password_reset_tokens_token_idx ON public.customer_password_reset_tokens USING btree (token)
 customer_password_reset_tokens    | customer_password_reset_tokens_token_key       | 16 kB      | t         | f          | CREATE UNIQUE INDEX customer_password_reset_tokens_token_key ON public.customer_password_reset_tokens USING btree (token)
 customer_password_reset_tokens    | idx_customer_reset_tokens_customer_id          | 16 kB      | f         | f          | CREATE INDEX idx_customer_reset_tokens_customer_id ON public.customer_password_reset_tokens USING btree (customer_id)
 customer_password_reset_tokens    | idx_customer_reset_tokens_token                | 16 kB      | f         | f          | CREATE INDEX idx_customer_reset_tokens_token ON public.customer_password_reset_tokens USING btree (token)
 customer_sessions                 | customer_sessions_pkey                         | 16 kB      | t         | t          | CREATE UNIQUE INDEX customer_sessions_pkey ON public.customer_sessions USING btree (id)
 customer_sessions                 | customer_sessions_token_hash_idx               | 16 kB      | f         | f          | CREATE INDEX customer_sessions_token_hash_idx ON public.customer_sessions USING btree (token_hash)
 customer_sessions                 | idx_customer_sessions_customer                 | 16 kB      | f         | f          | CREATE INDEX idx_customer_sessions_customer ON public.customer_sessions USING btree (customer_id)
 customer_sessions                 | idx_customer_sessions_customer_id              | 16 kB      | f         | f          | CREATE INDEX idx_customer_sessions_customer_id ON public.customer_sessions USING btree (customer_id)
 customer_sessions                 | idx_customer_sessions_expires                  | 16 kB      | f         | f          | CREATE INDEX idx_customer_sessions_expires ON public.customer_sessions USING btree (expires_at)
 customer_sessions                 | idx_customer_sessions_expires_at               | 16 kB      | f         | f          | CREATE INDEX idx_customer_sessions_expires_at ON public.customer_sessions USING btree (expires_at)
 customer_sessions                 | uq_customer_sessions_token_hash                | 16 kB      | t         | f          | CREATE UNIQUE INDEX uq_customer_sessions_token_hash ON public.customer_sessions USING btree (token_hash) WHERE (token_hash IS NOT NULL)
 customers                         | customers_email_key                            | 16 kB      | t         | f          | CREATE UNIQUE INDEX customers_email_key ON public.customers USING btree (email)
 customers                         | customers_email_lower_unique                   | 16 kB      | t         | f          | CREATE UNIQUE INDEX customers_email_lower_unique ON public.customers USING btree (lower(email))
 customers                         | customers_pkey                                 | 16 kB      | t         | t          | CREATE UNIQUE INDEX customers_pkey ON public.customers USING btree (id)
 customers                         | idx_customers_active                           | 16 kB      | f         | f          | CREATE INDEX idx_customers_active ON public.customers USING btree (is_active)
 customers                         | idx_customers_created_at                       | 16 kB      | f         | f          | CREATE INDEX idx_customers_created_at ON public.customers USING btree (created_at DESC)
 customers                         | idx_customers_email_lower                      | 16 kB      | f         | f          | CREATE INDEX idx_customers_email_lower ON public.customers USING btree (lower(email))
